# Testing the phase gate

nones Default Default+OMP NP NP+OMP
1 5.11879e-05 1.74003e-05 3.68812e-08 1.69913e-06
2 5.11776e-05 1.75142e-05 1.91485e-07 1.78999e-06
3 5.11415e-05 1.73906e-05 1.11339e-06 1.91215e-06
4 5.11017e-05 1.73951e-05 4.76795e-06 2.45769e-06
5 5.11285e-05 1.74148e-05 1.45196e-05 4.11277e-06
6 5.10741e-05 1.74333e-05 3.3403e-05 7.18563e-06
7 5.23649e-05 1.82743e-05 5.49079e-05 1.06337e-05
8 5.19933e-05 1.74059e-05 6.85475e-05 1.29912e-05
9 5.29085e-05 1.74643e-05 6.82684e-05 1.37804e-05
10 5.16594e-05 1.75899e-05 5.27694e-05 9.86062e-06
11 5.19874e-05 1.73993e-05 3.1718e-05 7.86783e-06
12 5.11612e-05 1.76137e-05 1.43367e-05 3.94676e-06
13 5.11351e-05 1.73763e-05 4.70154e-06 2.52331e-06
14 5.11397e-05 1.73823e-05 1.13268e-06 1.93105e-06
15 5.22352e-05 1.75615e-05 1.90302e-07 1.76966e-06
